#FamilyID	pvalue	Significant at 0.05
OG0002254	0.008	y
OG0002255	0.025	y
OG0002258	0.016	y
OG0002261	0.025	y
OG0002264	0.015	y
OG0002270	0	y
OG0002282	0.025	y
OG0002289	0.025	y
OG0002292	0	y
OG0002294	0.025	y
OG0002302	0.025	y
OG0002303	0.025	y
OG0002306	0.025	y
OG0002312	0.007	y
OG0002319	0.025	y
OG0002322	0.025	y
OG0002323	0.025	y
OG0002336	0.008	y
OG0002338	0.025	y
OG0002339	0	y
OG0002341	0.025	y
OG0002346	0.011	y
OG0002347	0.015	y
OG0002352	0.025	y
OG0002354	0.011	y
OG0002356	0.025	y
OG0002357	0.025	y
OG0002358	0	y
OG0002361	0.008	y
OG0002362	0.015	y
OG0002369	0.025	y
OG0002375	0.025	y
OG0002376	0.025	y
OG0002387	0	y
OG0002393	0.015	y
OG0002394	0.025	y
OG0002397	0.011	y
OG0002405	0.001	y
OG0002420	0	y
OG0002425	0.011	y
OG0002435	0.025	y
OG0002444	0.025	y
OG0002447	0.025	y
OG0002453	0.025	y
OG0002454	0.025	y
OG0002457	0.025	y
OG0002458	0.025	y
OG0002466	0.011	y
OG0002467	0.005	y
OG0002481	0.025	y
OG0002482	0.025	y
OG0002486	0.002	y
OG0002490	0.015	y
OG0002491	0.025	y
OG0002492	0.025	y
OG0002494	0	y
OG0002495	0.025	y
OG0002498	0.025	y
OG0002510	0.025	y
OG0002519	0.024	y
OG0002521	0.025	y
OG0002522	0.025	y
OG0002530	0.002	y
OG0002533	0.025	y
OG0002534	0.025	y
OG0002535	0.025	y
OG0002536	0.025	y
OG0002537	0	y
OG0002538	0.025	y
OG0002539	0.025	y
OG0002540	0.025	y
OG0002541	0.025	y
OG0002542	0.025	y
OG0002543	0.025	y
OG0002548	0	y
OG0002553	0.005	y
OG0002560	0.015	y
OG0002564	0.011	y
OG0002565	0.025	y
OG0002567	0.025	y
OG0002568	0.025	y
OG0002571	0.025	y
OG0002572	0.025	y
OG0002577	0.025	y
OG0002583	0.025	y
OG0002584	0.025	y
OG0002585	0.011	y
OG0002589	0	y
OG0002592	0.015	y
OG0002593	0	y
OG0002604	0.025	y
OG0002617	0.025	y
OG0002640	0.025	y
OG0002652	0.009	y
OG0002659	0	y
OG0002660	0.025	y
OG0002661	0.015	y
OG0002662	0.025	y
OG0002663	0	y
OG0002668	0.025	y
OG0002684	0.025	y
OG0002685	0.025	y
OG0002687	0.025	y
OG0002690	0.025	y
OG0002691	0.002	y
OG0002692	0.011	y
OG0002693	0.011	y
OG0002696	0.016	y
OG0002697	0.025	y
OG0002698	0.025	y
OG0002700	0.025	y
OG0002705	0.025	y
OG0002706	0.025	y
OG0002707	0.025	y
OG0002708	0	y
OG0002709	0.025	y
OG0002710	0.025	y
OG0002716	0.025	y
OG0002718	0.025	y
OG0002726	0.009	y
OG0002727	0.036	y
OG0002728	0	y
OG0002730	0.015	y
OG0002737	0.025	y
OG0002739	0.025	y
OG0002750	0	y
OG0002754	0.025	y
OG0002757	0.025	y
OG0002759	0.002	y
OG0002772	0.025	y
OG0002776	0.025	y
OG0002777	0.025	y
OG0002779	0.025	y
OG0002785	0	y
OG0002793	0.015	y
OG0002803	0	y
OG0002804	0.025	y
OG0002809	0	y
OG0002818	0.025	y
OG0002819	0.025	y
OG0002820	0.025	y
OG0002821	0.025	y
OG0002822	0.025	y
